sublineage,time,mean,upper,lower,time_correct,year,upper_log,lower_log,log
L3.1.1.1,100043.8269,21713518.31,4.32E+07,275659.7305,233.3708354,1786.629165,7.635483747,5.440373327,6.537928537
L3.1.1.1,101739.485,21752347.6,4.32E+07,265002.4598,237.3516744,1782.648326,7.635483747,5.423249905,6.529366826
L3.1.1.1,103435.1431,21762516.12,4.33E+07,253423.0374,241.2856801,1778.71432,7.636487896,5.403846092,6.520166994
L3.1.1.1,105130.8012,21861068.92,4.35E+07,245162.1334,245.2665192,1774.733481,7.638489257,5.389453392,6.513971324
L3.1.1.1,106826.4592,21857581.19,4.35E+07,238186.679,249.2005248,1770.799475,7.638489257,5.376917469,6.507703363
L3.1.1.1,108522.1173,21893446.9,4.36E+07,229839.2566,253.1813639,1766.818636,7.639486489,5.361424208,6.500455349
L3.1.1.1,110217.7754,21910258.3,4.36E+07,220648.8998,257.1153695,1762.88463,7.639486489,5.343701766,6.491594128
L3.1.1.1,111913.4335,21946817.95,4.37E+07,211015.9484,261.0962086,1758.903791,7.640481437,5.32431528,6.482398359
L3.1.1.1,113609.0916,21969326.99,4.37E+07,203323.4364,265.0302142,1754.969786,7.640481437,5.308187441,6.474334439
L3.1.1.1,115304.7497,22083271.21,4.40E+07,200072.0869,268.9642199,1751.03578,7.643452676,5.301186502,6.472319589
L3.1.1.1,117000.4077,22142689.58,4.41E+07,191071.6891,272.9450589,1747.054941,7.644438589,5.281196343,6.462817466
L3.1.1.1,118696.0658,22155868.02,4.41E+07,186048.4809,276.8790646,1743.120935,7.644438589,5.269626128,6.457032359
L3.1.1.1,120391.7239,22168676.34,4.42E+07,182381.558,280.8599036,1739.140096,7.645422269,5.260980921,6.453201595
L3.1.1.1,122087.382,22183483.01,4.42E+07,180706.5621,284.7939093,1735.206091,7.645422269,5.256973924,6.451198096
L3.1.1.1,123783.0401,22191688.18,4.42E+07,176669.3562,288.7747484,1731.225252,7.645422269,5.247161226,6.446291748
L3.1.1.1,125478.6982,22290560.87,4.44E+07,171126.306,292.708754,1727.291246,7.64738297,5.233316776,6.440349873
L3.1.1.1,127174.3562,22342150.19,4.45E+07,167972.1713,296.6895931,1723.310407,7.648360011,5.225237336,6.436798674
L3.1.1.1,128870.0143,22340354.76,4.45E+07,164381.3097,300.6235987,1719.376401,7.648360011,5.215852436,6.432106224
